Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization
PUV,2022-40105,36491,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on the protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
PUV,2022-40106,36492,Platný dokument,"C05F1/00, C05G1/00",CS: Kapalné listové hnojivo s biostimulačním účinkem na bázi nízkomolárního bílkovinného hydrolyzátu směsných kolagenních odpadůEN: Liquid foliar fertilizer with a biostimulating effect based on a low-molar protein hydrolyzate of mixed collagen wastes,"Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
PUV,2022-40143,36317,Platný dokument,"G16H50/30, A61B5/0205",CS: Monitorovací systém pro sledování zdravotního stavu pacientaEN: Monitoring system for monitoring the health of the patient,"České vysoké učení technické v Praze, Praha 6, Dejvice, Česká republika"
PUV,2022-40314,36641,Platný dokument,"A23L2/38, A61K36/481, A61K36/28, A61K36/53",CS: Imunito-adaptogenní nápojEN: Immuno-adaptogenic drink,"Výzkumný ústav rostlinné výroby, v. v. i., Praha 6, Ruzyně, Česká republika"
PUV,2022-40405,36569,Platný dokument,"A23L29/00, A23L33/21, A23L27/14",CS: Burger s přídavkem hmyzu a vlákninyEN: Burger with the addition of insects and fibre,"Výzkumný ústav potravinářský Praha, v. v. i., Praha 10, Hostivař, Česká republika"
PUV,2022-40416,36514,Platný dokument,"A01B51/02, A01B51/00, A01B69/00, A01B69/08",CS: Bočnicový modul agrorobotaEN: Agrorobot side module,"BEDNAR FMT s.r.o., Praha 9, Vinoř, Česká republika"
PUV,2022-40449,36767,Platný dokument,G01N33/44,"CS: Analyzátor urychleného stárnutí materiálu, zejména mechanicky a tepelně namáhané vulkanizované pryžeEN: Analyzer of accelerated material aging, especially mechanically and thermally stressed vulcanized rubber","Univerzita Tomáše Bati ve Zlíně, Zlín, Česká republika"
PUV,2022-40560,36818,Platný dokument,"A23J3/04, A23J3/16, A23J3/14, A23L27/14, A23L29/212, A23L33/21",CS: Imitace burgeru s přídavkem hmyzuEN: Imitation of a burger with the addition of insects,"Výzkumný ústav potravinářský Praha, v. v. i., Praha 10, Hostivař, Česká republika"
EP,2022-154825,4011806,Platný dokument,"B65G1/04, B65G1/06",EN: CONTAINER HANDLING VEHICLE WITH FIRST AND SECOND SECTIONS AND ASSEMBLY OF MOTORS IN SECOND SECTION FOR DRIVING AT LEAST ONE WHEEL OF EACH OF THE SETS OF WHEELS,"Autostore Technology AS, 5578 Nedre Vats Norge, Norsko"
EP,2022-164494,4062752,Neúčinný EP od počátku,"A01G17/02, A01G17/16, A01C11/04","EN: COMPANION PLANTING MODULE FOR VINE SEEDLINGS, COMPANION PLANTING DEVICE INCLUDING SAID MODULE","ELEVEN & CO, 16100 Merpins, Francie"
