Application_Number,API,STAV,smazat
2017-530,PT/2017-530,Zaniklý dokument,NULL
2017-546,PT/2017-546,Platný dokument,NULL
2017-549,PT/2017-549,Platný dokument,NULL
2017-553,PT/2017-553,Platný dokument na poshovovací lhůtě,NULL
2017-554,PT/2017-554,Zaniklý dokument,NULL
2017-558,PT/2017-558,Zaniklý dokument,NULL
2017-559,PT/2017-559,Zaniklý dokument,NULL
2017-570,PT/2017-570,Platný dokument,NULL
2017-588,PT/2017-588,Platný dokument,NULL
2017-594,PT/2017-594,Platný dokument,NULL
2017-5,PT/2017-5,Platný dokument,NULL
2017-613,PT/2017-613,Zaniklý dokument,NULL
2017-672,PT/2017-672,Zaniklý dokument,NULL
2017-679,PT/2017-679,Zaniklý dokument,NULL
2017-67,PT/2017-67,Zaniklý dokument,NULL
2017-710,PT/2017-710,Zaniklý dokument,NULL
2017-711,PT/2017-711,Platný dokument,NULL
2017-712,PT/2017-712,Zaniklý dokument,NULL
2017-713146,EP/3423441,Platný dokument,NULL
2017-713880,EP/3430177,Neúčinný EP od počátku,NULL
2017-714150,EP/3407715,Neúčinný EP od počátku,NULL
2017-718803,EP/3585736,Platný dokument,NULL
2017-718,PT/2017-718,Negativně ukončený po zveřejněnĂ­,NULL
2017-722,PT/2017-722,Platný dokument,NULL
2017-736,PT/2017-736,Zaniklý dokument,NULL
2017-741,PT/2017-741,Zaniklý dokument,NULL
2017-745,PT/2017-745,Platný dokument,NULL
2017-752,PT/2017-752,Negativně ukončený po zveřejněnĂ­,NULL
2017-753,PT/2017-753,Zaniklý dokument,NULL
2017-754,PT/2017-754,Zaniklý dokument,NULL
2017-756,PT/2017-756,Negativně ukončený po zveřejněnĂ­,NULL
2017-758,PT/2017-758,Platný dokument,NULL
2017-767,PT/2017-767,Platný dokument,NULL
2017-768661,EP/3494122,Neúčinný EP od počátku,NULL
2017-768,PT/2017-768,Platný dokument,NULL
2017-771976,EP/3488377,Neúčinný EP od počátku,NULL
2017-772595,EP/3513057,Neúčinný EP od počátku,NULL
2017-775,PT/2017-775,Platný dokument,NULL
2017-776,PT/2017-776,Zaniklý dokument,NULL
2017-783696,EP/3507260,Neúčinný EP od počátku,NULL
2017-784,PT/2017-784,Platný dokument,NULL
2017-788,PT/2017-788,Zveřejněná přihláška,NULL
2017-799,PT/2017-799,Zaniklý dokument,NULL
2017-79,PT/2017-79,Zaniklý dokument,NULL
2017-806,PT/2017-806,Platný dokument,NULL
2017-807,PT/2017-807,Platný dokument,NULL
2017-809173,EP/3710211,Neúčinný EP od počátku,NULL
2017-811,PT/2017-811,Platný dokument,NULL
2017-814,PT/2017-814,Platný dokument,NULL
2017-816,PT/2017-816,Zaniklý dokument,NULL
2017-818031,EP/3534973,Neúčinný EP od počátku,NULL
2017-819,PT/2017-819,Platný dokument,NULL
2017-824,PT/2017-824,Platný dokument,NULL
2017-828641,EP/3548873,Neúčinný EP od počátku,NULL
2017-832461,EP/3535238,Platný dokument,NULL
2017-837846,EP/3558526,Neúčinný EP od počátku,NULL
2017-83,PT/2017-83,Platný dokument,NULL
2017-840,PT/2017-840,Platný dokument,NULL
2017-853,PT/2017-853,Zaniklý dokument,NULL
2017-856,PT/2017-856,Platný dokument,NULL
2017-857,PT/2017-857,Platný dokument,NULL
2017-859,PT/2017-859,Platný dokument,NULL
2017-860,PT/2017-860,Negativně ukončený po zveřejněnĂ­,NULL
2017-86,PT/2017-86,Zaniklý dokument,NULL
2017-89,PT/2017-89,Platný dokument,NULL
2017-91,PT/2017-91,Zaniklý dokument,NULL
2017-94,PT/2017-94,Zaniklý dokument,NULL
2017-96,PT/2017-96,Zaniklý dokument,NULL
2018-109,PT/2018-109,Zaniklý dokument,NULL
2018-121,PT/2018-121,Platný dokument,NULL
2018-128,EP/3373311,Neúčinný EP od počátku,NULL
2018-130,PT/2018-130,Platný dokument,NULL
2018-138,PT/2018-138,Zaniklý dokument,NULL
2018-13,PT/2018-13,Platný dokument,NULL
2018-143,PT/2018-143,Platný dokument,NULL
2018-152,PT/2018-152,Platný dokument,NULL
2018-158,PT/2018-158,Platný dokument,NULL
2018-167651,EP/3556755,Neúčinný EP od počátku,NULL
2018-167664,EP/3556756,Neúčinný EP od počátku,NULL
2018-169749,EP/3395956,Neúčinný EP od počátku,NULL
2018-16,PT/2018-16,Platný dokument,NULL
2018-171,PT/2018-171,Platný dokument,NULL
2018-177,PT/2018-177,Zaniklý dokument,NULL
2018-179983,EP/3421680,Neúčinný EP od počátku,NULL
2018-179,PT/2018-179,Platný dokument,NULL
2018-181052,EP/3460499,Neúčinný EP od počátku,NULL
2018-181561,EP/3425185,Neúčinný EP od počátku,NULL
2018-181,PT/2018-181,Zaniklý dokument,NULL
2018-183024,EP/3434182,Neúčinný EP od počátku,NULL
2018-185629,EP/3434292,Neúčinný EP od počátku,NULL
2018-196,PT/2018-196,Platný dokument,NULL
2018-19,PT/2018-19,Platný dokument,NULL
2018-200,PT/2018-200,Platný dokument,NULL
2018-206953,EP/3485714,Neúčinný EP od počátku,NULL
2018-211872,EP/3581094,Neúčinný EP od počátku,NULL
2018-212,PT/2018-212,Platný dokument,NULL
2018-215,PT/2018-215,Platný dokument,NULL
2018-225,PT/2018-225,Platný dokument,NULL
2018-230,PT/2018-230,Platný dokument na poshovovací lhůtě,NULL
2018-232,PT/2018-232,Platný dokument,NULL
2018-252,PT/2018-252,Platný dokument,NULL
2018-253,PT/2018-253,Zaniklý dokument,NULL
2018-254,PT/2018-254,Negativně ukončený po zveřejněnĂ­,NULL
2018-255,PT/2018-255,Zaniklý dokument,NULL
2018-265,PT/2018-265,Platný dokument,NULL
2018-266,PT/2018-266,Zaniklý dokument,NULL
2018-26,PT/2018-26,Platný dokument,NULL
2018-274,PT/2018-274,Platný dokument,NULL
2018-291,PT/2018-291,Zaniklý dokument,NULL
2018-292,PT/2018-292,Zaniklý dokument,NULL
2018-293,PT/2018-293,Zaniklý dokument,NULL
2018-304,PT/2018-304,Platný dokument,NULL
2018-306,PT/2018-306,Zaniklý dokument,NULL
2018-308,PT/2018-308,Zaniklý dokument,NULL
2018-323,PT/2018-323,Platný dokument,NULL
2018-324,PT/2018-324,Platný dokument,NULL
2018-328,PT/2018-328,Zaniklý dokument,NULL
2018-331,PT/2018-331,Zaniklý dokument,NULL
2018-337,PT/2018-337,Platný dokument,NULL
2018-33,PT/2018-33,Zaniklý dokument,NULL
2018-34553,PUV/34553,Zaniklý dokument,NULL
2018-34559,PUV/34559,Zaniklý dokument,NULL
2018-34566,PUV/34566,Zaniklý dokument,NULL
2018-34567,PUV/34567,Zaniklý dokument,NULL
2018-34569,PUV/34569,Platný dokument,NULL
2018-34572,PUV/34572,Zaniklý dokument,NULL
2018-34575,PUV/34575,Zaniklý dokument,NULL
2018-34576,PUV/34576,Platný dokument,NULL
2018-34578,PUV/34578,Zaniklý dokument,NULL
2018-34581,PUV/34581,Zaniklý dokument,NULL
2018-34589,PUV/34589,Zaniklý dokument,NULL
2018-34594,PUV/34594,Zaniklý dokument,NULL
2018-34616,PUV/34616,Platný dokument,NULL
2018-34641,PUV/34641,Platný dokument,NULL
2018-34647,PUV/34647,Platný dokument,NULL
2018-34650,PUV/34650,Zaniklý dokument,NULL
2018-34659,PUV/34659,Zaniklý dokument,NULL
2018-34660,PUV/34660,Zaniklý dokument,NULL
2018-34665,PUV/34665,Zaniklý dokument,NULL
2018-34670,PUV/34670,Zaniklý dokument,NULL
2018-34678,PUV/34678,Platný dokument,NULL
2018-34683,PUV/34683,Zaniklý dokument,NULL
2018-34684,PUV/34684,Platný dokument,NULL
2018-34685,PUV/34685,Platný dokument,NULL
2018-34691,PUV/34691,Zaniklý dokument,NULL
2018-346,PT/2018-346,Platný dokument,NULL
2018-34713,PUV/34713,Zaniklý dokument,NULL
2018-34722,PUV/34722,Zaniklý dokument,NULL
2018-34724,PUV/34724,Platný dokument,NULL
2018-34725,PUV/34725,Platný dokument,NULL
2018-34736,PUV/34736,Zaniklý dokument,NULL
2018-34758,PUV/34758,Zaniklý dokument,NULL
2018-34781,PUV/34781,Zaniklý dokument,NULL
2018-34783,PUV/34783,Zaniklý dokument,NULL
2018-34791,PUV/34791,Zaniklý dokument,NULL
2018-34800,PUV/34800,Zaniklý dokument,NULL
2018-34801,PUV/34801,Platný dokument,NULL
2018-34827,PUV/34827,Zaniklý dokument,NULL
2018-34831,PUV/34831,Platný dokument,NULL
2018-34847,PUV/34847,Zaniklý dokument,NULL
2018-34849,PUV/34849,Zaniklý dokument,NULL
2018-34850,PUV/34850,Zaniklý dokument,NULL
2018-34859,PUV/34859,Zaniklý dokument,NULL
2018-34871,PUV/34871,Zaniklý dokument,NULL
2018-34872,PUV/34872,Zaniklý dokument,NULL
2018-34873,PUV/34873,Zaniklý dokument,NULL
2018-34876,PUV/34876,Zaniklý dokument,NULL
2018-34881,PUV/34881,Zaniklý dokument,NULL
2018-34886,PUV/34886,Platný dokument,NULL
2018-34892,PUV/34892,Zaniklý dokument,NULL
2018-34896,PUV/34896,Zaniklý dokument,NULL
2018-34897,PUV/34897,Zaniklý dokument,NULL
2018-34901,PUV/34901,Platný dokument,NULL
2018-34907,PUV/34907,Zaniklý dokument,NULL
2018-34909,PUV/34909,Zaniklý dokument,NULL
2018-34914,PUV/34914,Platný dokument,NULL
2018-34921,PUV/34921,Zaniklý dokument,NULL
2018-34922,PUV/34922,Zaniklý dokument,NULL
2018-34930,PUV/34930,Zaniklý dokument,NULL
2018-34935,PUV/34935,Platný dokument,NULL
2018-34947,PUV/34947,Platný dokument,NULL
2018-34954,PUV/34954,Zaniklý dokument,NULL
2018-34960,PUV/34960,Zaniklý dokument,NULL
2018-34962,PUV/34962,Platný dokument,NULL
2018-34963,PUV/34963,Platný dokument,NULL
2018-34970,PUV/34970,Platný dokument,NULL
2018-34972,PUV/34972,Zaniklý dokument,NULL
2018-34973,PUV/34973,Zaniklý dokument,NULL
2018-34975,PUV/34975,Zaniklý dokument,NULL
2018-34978,PUV/34978,Zaniklý dokument,NULL
2018-34986,PUV/34986,Platný dokument,NULL
2018-34987,PUV/34987,Zaniklý dokument,NULL
2018-34988,PUV/34988,Zaniklý dokument,NULL
2018-34999,PUV/34999,Zaniklý dokument,NULL
2018-35011,PUV/35011,Platný dokument,NULL
2018-35018,PUV/35018,Zaniklý dokument,NULL
2018-35019,PUV/35019,Zaniklý dokument,NULL
2018-35020,PUV/35020,Zaniklý dokument,NULL
2018-35023,PUV/35023,Zaniklý dokument,NULL
2018-35027,PUV/35027,Zaniklý dokument,NULL
2018-35037,PUV/35037,Platný dokument,NULL
2018-35038,PUV/35038,Platný dokument,NULL
2018-35048,PUV/35048,Platný dokument,NULL
2018-35051,PUV/35051,Zaniklý dokument,NULL
2018-35052,PUV/35052,Zaniklý dokument,NULL
2018-35065,PUV/35065,Zaniklý dokument,NULL
2018-35066,PUV/35066,Zaniklý dokument,NULL
2018-35071,PUV/35071,Zaniklý dokument,NULL
2018-35076,PUV/35076,Platný dokument,NULL
2018-35081,PUV/35081,Platný dokument,NULL
2018-35087,PUV/35087,Platný dokument,NULL
2018-35093,PUV/35093,Platný dokument,NULL
2018-35094,PUV/35094,Platný dokument,NULL
2018-35096,PUV/35096,Zaniklý dokument,NULL
2018-35097,PUV/35097,Zaniklý dokument,NULL
2018-35100,PUV/35100,Zaniklý dokument,NULL
2018-35112,PUV/35112,Platný dokument,NULL
2018-35122,PUV/35122,Zaniklý dokument,NULL
2018-35127,PUV/35127,Platný dokument,NULL
2018-35130,PUV/35130,Zaniklý dokument,NULL
2018-35142,PUV/35142,Zaniklý dokument,NULL
2018-35145,PUV/35145,Zaniklý dokument,NULL
2018-35151,PUV/35151,Zaniklý dokument,NULL
2018-35164,PUV/35164,Platný dokument,NULL
2018-35189,PUV/35189,Zaniklý dokument,NULL
2018-35191,PUV/35191,Zaniklý dokument,NULL
2018-35194,PUV/35194,Zaniklý dokument,NULL
2018-35197,PUV/35197,Zaniklý dokument,NULL
2018-35203,PUV/35203,Platný dokument,NULL
2018-35208,PUV/35208,Platný dokument,NULL
2018-35212,PUV/35212,Zaniklý dokument,NULL
2018-35213,PUV/35213,Platný dokument,NULL
2018-35220,PUV/35220,Platný dokument,NULL
2018-35227,PUV/35227,Platný dokument,NULL
2018-35270,PUV/35270,Platný dokument,NULL
2018-35276,PUV/35276,Zaniklý dokument,NULL
2018-35277,PUV/35277,Platný dokument,NULL
2018-35278,PUV/35278,Zaniklý dokument,NULL
2018-35286,PUV/35286,Zaniklý dokument,NULL
2018-35290,PUV/35290,Zaniklý dokument,NULL
2018-35299,PUV/35299,Zaniklý dokument,NULL
2018-35308,PUV/35308,Zaniklý dokument,NULL
2018-35315,PUV/35315,Zaniklý dokument,NULL
2018-35316,PUV/35316,Zaniklý dokument,NULL
2018-35338,PUV/35338,Zaniklý dokument,NULL
2018-35345,PUV/35345,Zaniklý dokument,NULL
2018-35347,PUV/35347,Platný dokument,NULL
2018-35352,PUV/35352,Zaniklý dokument,NULL
2018-35353,PUV/35353,Platný dokument na poshovovací lhůtě,NULL
2018-35355,PUV/35355,Zaniklý dokument,NULL
2018-35356,PUV/35356,Zaniklý dokument,NULL
2018-35367,PUV/35367,Platný dokument,NULL
2018-35369,PUV/35369,Platný dokument,NULL
2018-35383,PUV/35383,Zaniklý dokument,NULL
2018-35384,PUV/35384,Platný dokument,NULL
2018-35385,PUV/35385,Platný dokument,NULL
2018-35389,PUV/35389,Platný dokument,NULL
2018-35392,PUV/35392,Zaniklý dokument,NULL
2018-35394,PUV/35394,Zaniklý dokument,NULL
2018-35396,PUV/35396,Zaniklý dokument,NULL
2018-35401,PUV/35401,Zaniklý dokument,NULL
2018-35402,PUV/35402,Zaniklý dokument,NULL
2018-35404,PUV/35404,Platný dokument,NULL
2018-35405,PUV/35405,Zaniklý dokument,NULL
2018-35406,PUV/35406,Zaniklý dokument,NULL
2018-35412,PUV/35412,Platný dokument,NULL
2018-35419,PUV/35419,Platný dokument,NULL
2018-35421,PUV/35421,Zaniklý dokument,NULL
2018-35422,PUV/35422,Zaniklý dokument,NULL
2018-35429,PUV/35429,Zaniklý dokument,NULL
2018-35435,PUV/35435,Zaniklý dokument,NULL
2018-35439,PUV/35439,Zaniklý dokument,NULL
2018-35441,PUV/35441,Platný dokument,NULL
2018-35443,PUV/35443,Zaniklý dokument,NULL
2018-35445,PUV/35445,Zaniklý dokument,NULL
2018-35451,PUV/35451,Zaniklý dokument,NULL
2018-35454,PUV/35454,Platný dokument,NULL
2018-35455,PUV/35455,Zaniklý dokument,NULL
2018-35458,PUV/35458,Zaniklý dokument,NULL
2018-35462,PUV/35462,Zaniklý dokument,NULL
2018-35465,PUV/35465,Zaniklý dokument,NULL
2018-35477,PUV/35477,Platný dokument,NULL
2018-35479,PUV/35479,Zaniklý dokument,NULL
2018-35481,PUV/35481,Zaniklý dokument,NULL
2018-35482,PUV/35482,Zaniklý dokument,NULL
2018-35483,PUV/35483,Zaniklý dokument,NULL
2018-35484,PUV/35484,Zaniklý dokument,NULL
2018-35485,PUV/35485,Zaniklý dokument,NULL
2018-35486,PUV/35486,Platný dokument,NULL
2018-35490,PUV/35490,Zaniklý dokument,NULL
2018-35491,PUV/35491,Zaniklý dokument,NULL
2018-35493,PUV/35493,Platný dokument,NULL
2018-35494,PUV/35494,Platný dokument,NULL
2018-35495,PUV/35495,Zaniklý dokument,NULL
2018-35505,PUV/35505,Zaniklý dokument,NULL
2018-35506,PUV/35506,Zaniklý dokument,NULL
2018-35507,PUV/35507,Zaniklý dokument,NULL
2018-35508,PUV/35508,Platný dokument,NULL
2018-35518,PUV/35518,Zaniklý dokument,NULL
2018-35519,PUV/35519,Zaniklý dokument,NULL
2018-35521,PUV/35521,Zaniklý dokument,NULL
2018-35522,PUV/35522,Zaniklý dokument,NULL
2018-35523,PUV/35523,Zaniklý dokument,NULL
2018-35552,PUV/35552,Zaniklý dokument,NULL
2018-35564,PUV/35564,Zaniklý dokument,NULL
2018-35565,PUV/35565,Zaniklý dokument,NULL
2018-35572,PUV/35572,Platný dokument,NULL
2018-35576,PUV/35576,Zaniklý dokument,NULL
2018-35583,PUV/35583,Zaniklý dokument,NULL
2018-35585,PUV/35585,Zaniklý dokument,NULL
2018-35586,PUV/35586,Platný dokument,NULL
2018-35589,PUV/35589,Zaniklý dokument,NULL
2018-35596,PUV/35596,Platný dokument,NULL
2018-35598,PUV/35598,Platný dokument,NULL
2018-35611,PUV/35611,Platný dokument,NULL
2018-35617,PUV/35617,Zaniklý dokument,NULL
2018-35621,PUV/35621,Zaniklý dokument,NULL
2018-35624,PUV/35624,Zaniklý dokument,NULL
2018-35625,PUV/35625,Zaniklý dokument,NULL
2018-35632,PUV/35632,Zaniklý dokument,NULL
2018-35637,PUV/35637,Zaniklý dokument,NULL
2018-35638,PUV/35638,Zaniklý dokument,NULL
2018-35639,PUV/35639,Zaniklý dokument,NULL
2018-35645,PUV/35645,Platný dokument,NULL
2018-35656,PUV/35656,Zaniklý dokument,NULL
2018-35660,PUV/35660,Platný dokument,NULL
2018-35665,PUV/35665,Zaniklý dokument,NULL
2018-35670,PUV/35670,Platný dokument,NULL
2018-35675,PUV/35675,Zaniklý dokument,NULL
2018-35676,PUV/35676,Zaniklý dokument,NULL
2018-35678,PUV/35678,Platný dokument,NULL
2018-35682,PUV/35682,Zaniklý dokument,NULL
2018-35685,PUV/35685,Zaniklý dokument,NULL
2018-35690,PUV/35690,Platný dokument,NULL
2018-35694,PUV/35694,Platný dokument,NULL
2018-35698,PUV/35698,Zaniklý dokument,NULL
2018-35699,PUV/35699,Zaniklý dokument,NULL
2018-35701,PUV/35701,Zaniklý dokument,NULL
2018-35705,PUV/35705,Zaniklý dokument,NULL
2018-35709,PUV/35709,Platný dokument,NULL
2018-35710,PUV/35710,Zaniklý dokument,NULL
2018-35711,PUV/35711,Zaniklý dokument,NULL
2018-35713,PUV/35713,Platný dokument,NULL
2018-35714,PUV/35714,Zaniklý dokument,NULL
2018-35720,PUV/35720,Zaniklý dokument,NULL
2018-35723,PUV/35723,Zaniklý dokument,NULL
2018-35726,PUV/35726,Zaniklý dokument,NULL
2018-35727,PUV/35727,Zaniklý dokument,NULL
2018-35731,PUV/35731,Platný dokument,NULL
2018-35732,PUV/35732,Platný dokument,NULL
2018-35735,PUV/35735,Zaniklý dokument,NULL
2018-35736,PUV/35736,Zaniklý dokument,NULL
2018-35738,PUV/35738,Platný dokument,NULL
2018-35744,PUV/35744,Zaniklý dokument,NULL
2018-35745,PUV/35745,Platný dokument,NULL
2018-35749,PUV/35749,Platný dokument,NULL
2018-35753,PUV/35753,Platný dokument,NULL
2018-35756,PUV/35756,Platný dokument,NULL
2018-35757,PUV/35757,Platný dokument,NULL
2018-35758,PUV/35758,Zaniklý dokument,NULL
2018-35762,PUV/35762,Platný dokument,NULL
2018-35768,PUV/35768,Platný dokument,NULL
2018-35769,PUV/35769,Platný dokument,NULL
2018-35772,PUV/35772,Zaniklý dokument,NULL
2018-35773,PUV/35773,Zaniklý dokument,NULL
2018-35774,PUV/35774,Zaniklý dokument,NULL
2018-35775,PUV/35775,Platný dokument,NULL
2018-35782,PUV/35782,Zaniklý dokument,NULL
2018-35784,PUV/35784,Zaniklý dokument,NULL
2018-35785,PUV/35785,Zaniklý dokument,NULL
2018-35787,PUV/35787,Zaniklý dokument,NULL
2018-35790,PUV/35790,Platný dokument,NULL
2018-35791,PUV/35791,Zaniklý dokument,NULL
2018-35792,PUV/35792,Zaniklý dokument,NULL
2018-364,PT/2018-364,Zaniklý dokument,NULL
2018-365,PT/2018-365,Platný dokument,NULL
2018-375,PT/2018-375,Negativně ukončený po zveřejněnĂ­,NULL
2018-376,PT/2018-376,Platný dokument,NULL
2018-385,PT/2018-385,Platný dokument,NULL
2018-389,PT/2018-389,Platný dokument,NULL
2018-391,PT/2018-391,Platný dokument,NULL
2018-396,PT/2018-396,Zaniklý dokument,NULL
2018-398,PT/2018-398,Platný dokument na poshovovací lhůtě,NULL
2018-416,PT/2018-416,Platný dokument,NULL
2018-421,PT/2018-421,Platný dokument na poshovovací lhůtě,NULL
2018-424,PT/2018-424,Platný dokument na poshovovací lhůtě,NULL
2018-430,PT/2018-430,Platný dokument na poshovovací lhůtě,NULL
2018-431,PT/2018-431,Zaniklý dokument,NULL
2018-43,PT/2018-43,Platný dokument,NULL
2018-441,PT/2018-441,Negativně ukončený po zveřejněnĂ­,NULL
2018-451,PT/2018-451,Zaniklý dokument,NULL
2018-461,PT/2018-461,Platný dokument,NULL
2018-46,PT/2018-46,Negativně ukončený po zveřejněnĂ­,NULL
2018-472,PT/2018-472,Platný dokument,NULL
2018-484,PT/2018-484,Platný dokument,NULL
2018-494,PT/2018-494,Platný dokument,NULL
2018-495,PT/2018-495,Platný dokument,NULL
2018-510,PT/2018-510,Platný dokument,NULL
2018-511,PT/2018-511,Platný dokument,NULL
2018-514,PT/2018-514,Zaniklý dokument,NULL
2018-519,PT/2018-519,Zveřejněná přihláška,NULL
2018-526,PT/2018-526,Platný dokument,NULL
2018-52,PT/2018-52,Zaniklý dokument,NULL
2018-530,PT/2018-530,Zaniklý dokument,NULL
2018-537,PT/2018-537,Negativně ukončený po zveřejněnĂ­,NULL
2018-540,PT/2018-540,Platný dokument na poshovovací lhůtě,NULL
2018-542,PT/2018-542,Platný dokument,NULL
2018-546,PT/2018-546,Platný dokument,NULL
2018-547,PT/2018-547,Platný dokument,NULL
2018-557,PT/2018-557,Zaniklý dokument,NULL
2018-558,PT/2018-558,Platný dokument,NULL
2018-572,PT/2018-572,Zaniklý dokument,NULL
2018-587,PT/2018-587,Zaniklý dokument,NULL
2018-58,PT/2018-58,Zaniklý dokument,NULL
2018-591,PT/2018-591,Zaniklý dokument,NULL
2018-592,PT/2018-592,Platný dokument,NULL
2018-593,PT/2018-593,Zaniklý dokument,NULL
2018-594,PT/2018-594,Platný dokument na poshovovací lhůtě,NULL
2018-600,PT/2018-600,Platný dokument,NULL
2018-601,PT/2018-601,Platný dokument,NULL
2018-605,PT/2018-605,Platný dokument,NULL
2018-608,PT/2018-608,Platný dokument,NULL
2018-609,PT/2018-609,Zaniklý dokument,NULL
2018-610,PT/2018-610,Zaniklý dokument,NULL
2018-613,PT/2018-613,Platný dokument,NULL
2018-614,PT/2018-614,Zaniklý dokument,NULL
2018-619,PT/2018-619,Platný dokument,NULL
2018-628,PT/2018-628,Platný dokument,NULL
2018-637,PT/2018-637,Platný dokument,NULL
2018-642,PT/2018-642,Platný dokument,NULL
2018-64,PT/2018-64,Platný dokument,NULL
2018-651,PT/2018-651,Platný dokument,NULL
2018-657,PT/2018-657,Platný dokument,NULL
2018-658,PT/2018-658,Platný dokument,NULL
2018-65,PT/2018-65,Zaniklý dokument,NULL
2018-670,PT/2018-670,Negativně ukončený po zveřejněnĂ­,NULL
2018-671,PT/2018-671,Platný dokument,NULL
2018-676,PT/2018-676,Platný dokument,NULL
2018-677,PT/2018-677,Platný dokument,NULL
2018-681,PT/2018-681,Zaniklý dokument,NULL
2018-686,PT/2018-686,Platný dokument,NULL
2018-688,PT/2018-688,Zaniklý dokument,NULL
2018-689,PT/2018-689,Zaniklý dokument,NULL
2018-695,PT/2018-695,Platný dokument,NULL
2018-696,PT/2018-696,Zaniklý dokument,NULL
2018-705,PT/2018-705,Platný dokument,NULL
2018-706,PT/2018-706,Zaniklý dokument,NULL
2018-708569,EP/3390960,Platný dokument,NULL
2018-710,PT/2018-710,Platný dokument,NULL
2018-712,PT/2018-712,Platný dokument,NULL
2018-714,PT/2018-714,Platný dokument,NULL
2018-715,PT/2018-715,Platný dokument,NULL
2018-716,PT/2018-716,Platný dokument,NULL
2018-718091,EP/3679033,Zaniklý dokument,NULL
2018-720082,EP/3601287,Neúčinný EP od počátku,NULL
2018-725,PT/2018-725,Platný dokument,NULL
2018-726308,EP/3615535,Neúčinný EP od počátku,NULL
2018-726,PT/2018-726,Platný dokument,NULL
2018-728,PT/2018-728,Platný dokument,NULL
2018-734,PT/2018-734,Zaniklý dokument,NULL
2018-735,PT/2018-735,Zaniklý dokument,NULL
2018-737,PT/2018-737,Platný dokument,NULL
2018-738,PT/2018-738,Zaniklý dokument,NULL
2018-739,PT/2018-739,Zaniklý dokument,NULL
2018-742,PT/2018-742,Zaniklý dokument,NULL
2018-744,PT/2018-744,Platný dokument,NULL
2018-745,PT/2018-745,Platný dokument,NULL
2018-746,PT/2018-746,Platný dokument,NULL
2018-748,PT/2018-748,Platný dokument,NULL
2018-782295,EP/3669408,Platný dokument na poshovovací lhůtě,NULL
2018-782634,EP/3684936,Neúčinný EP od počátku,NULL
2018-800467,EP/3673305,Neúčinný EP od počátku,NULL
2018-82,PT/2018-82,Platný dokument,NULL
2018-87,PT/2018-87,Zaniklý dokument,NULL
2018-89,PT/2018-89,Zaniklý dokument,NULL
2018-92,PT/2018-92,Platný dokument,NULL
2018-93,PT/2018-93,Zaniklý dokument,NULL
2018-99,PT/2018-99,Zaniklý dokument,NULL
2019-114,PT/2019-114,Platný dokument,NULL
2019-117,PT/2019-117,Platný dokument,NULL
2019-118,PT/2019-118,Platný dokument,NULL
2019-126,PT/2019-126,Platný dokument,NULL
2019-131,PT/2019-131,Platný dokument,NULL
2019-148,PT/2019-148,Platný dokument,NULL
2019-149,PT/2019-149,Negativně ukončený po zveřejněnĂ­,NULL
2019-150,PT/2019-150,Zaniklý dokument,NULL
2019-151135,EP/3511510,Neúčinný EP od počátku,NULL
2019-160447,EP/3599603,Neúčinný EP od počátku,NULL
2019-160,PT/2019-160,Platný dokument,NULL
2019-165,PT/2019-165,Platný dokument,NULL
2019-167,PT/2019-167,Platný dokument,NULL
2019-170939,EP/3560670,Neúčinný EP od počátku,NULL
2019-178,PT/2019-178,Zaniklý dokument,NULL
2019-179036,EP/3581097,Neúčinný EP od počátku,NULL
2019-179,PT/2019-179,Platný dokument,NULL
2019-191,PT/2019-191,Negativně ukončený po zveřejněnĂ­,NULL
2019-192,PT/2019-192,Negativně ukončený po zveřejněnĂ­,NULL
2019-194,PT/2019-194,Zaniklý dokument,NULL
2019-197,PT/2019-197,Zaniklý dokument,NULL
2019-198822,EP/3627061,Neúčinný EP od počátku,NULL
2019-20020,EP/3525013,Zaniklý dokument,NULL
2019-200,PT/2019-200,Platný dokument,NULL
2019-201,PT/2019-201,Zaniklý dokument,NULL
2019-211707,EP/3660002,Neúčinný EP od počátku,NULL
2019-212,PT/2019-212,Platný dokument,NULL
2019-213,PT/2019-213,Negativně ukončený po zveřejněnĂ­,NULL
2019-214362,EP/3669983,Neúčinný EP od počátku,NULL
2019-217,PT/2019-217,Zveřejněná přihláška,NULL
2019-219,PT/2019-219,Zaniklý dokument,NULL
2019-227,PT/2019-227,Platný dokument,NULL
2019-233,PT/2019-233,Zaniklý dokument,NULL
2019-240,PT/2019-240,Platný dokument,NULL
2019-243,PT/2019-243,Zaniklý dokument,NULL
2019-249,PT/2019-249,Platný dokument,NULL
2019-250,PT/2019-250,Negativně ukončený po zveřejněnĂ­,NULL
2019-252,PT/2019-252,Platný dokument,NULL
2019-259,PT/2019-259,Platný dokument,NULL
2019-262,PT/2019-262,Platný dokument,NULL
2019-273,PT/2019-273,Platný dokument,NULL
2019-277,PT/2019-277,Platný dokument,NULL
2019-284,PT/2019-284,Platný dokument,NULL
2019-286,PT/2019-286,Platný dokument,NULL
2019-289,PT/2019-289,Platný dokument,NULL
2019-298,PT/2019-298,Platný dokument,NULL
2019-301,PT/2019-301,Platný dokument,NULL
2019-302,PT/2019-302,Zaniklý dokument,NULL
2019-304,PT/2019-304,Platný dokument,NULL
2019-30,PT/2019-30,Platný dokument,NULL
2019-315,PT/2019-315,Zaniklý dokument,NULL
