Applicant_Name,Country_Code,Application_number,File_Name,Filing_Date,ID_univerzita,API,TYP,TYP_CISLO,Application_Number,API,STAV,API_typ
Česká zemědělská univerzita v Praze ,CZ,2019-36294,OPENDATAST96_PT_CZ_DIFF_PUV2019-36294.xml,12.06.2019,3,PUV/36294,PUV,2,2019-36294,PUV/36294,Zaniklý dokument,PUV/36294-2
Česká zemědělská univerzita v Praze ,CZ,2019-36372,OPENDATAST96_PT_CZ_DIFF_PUV2019-36372.xml,01.07.2019,3,PUV/36372,PUV,2,2019-36372,PUV/36372,Platný dokument,PUV/36372-2
Česká zemědělská univerzita v Praze ,CZ,2019-36374,OPENDATAST96_PT_CZ_DIFF_PUV2019-36374.xml,01.07.2019,3,PUV/36374,PUV,2,2019-36374,PUV/36374,Platný dokument,PUV/36374-2
Česká zemědělská univerzita v Praze ,CZ,2019-36419,OPENDATAST96_PT_CZ_DIFF_PUV2019-36419.xml,17.07.2019,3,PUV/36419,PUV,2,2019-36419,PUV/36419,Zaniklý dokument,PUV/36419-2
Česká zemědělská univerzita v Praze ,CZ,2019-36450,OPENDATAST96_PT_CZ_DIFF_PUV2019-36450.xml,29.07.2019,3,PUV/36450,PUV,2,2019-36450,PUV/36450,Platný dokument,PUV/36450-2
Česká zemědělská univerzita v Praze ,CZ,2019-36581,OPENDATAST96_PT_CZ_DIFF_PUV2019-36581.xml,03.09.2019,3,PUV/36581,PUV,2,2019-36581,PUV/36581,Zaniklý dokument,PUV/36581-2
Česká zemědělská univerzita v Praze ,CZ,2019-36723,OPENDATAST96_PT_CZ_DIFF_PUV2019-36723.xml,09.10.2019,3,PUV/36723,PUV,2,2019-36723,PUV/36723,Platný dokument,PUV/36723-2
Česká zemědělská univerzita v Praze ,CZ,2019-36779,OPENDATAST96_PT_CZ_DIFF_PUV2019-36779.xml,21.10.2019,3,PUV/36779,PUV,2,2019-36779,PUV/36779,Zaniklý dokument,PUV/36779-2
Česká zemědělská univerzita v Praze ,CZ,2019-36957,OPENDATAST96_PT_CZ_DIFF_PUV2019-36957.xml,04.12.2019,3,PUV/36957,PUV,2,2019-36957,PUV/36957,Zaniklý dokument,PUV/36957-2
Česká zemědělská univerzita v Praze ,CZ,2019-37092,OPENDATAST96_PT_CZ_DIFF_PUV2019-37092.xml,30.12.2019,3,PUV/37092,PUV,2,2019-37092,PUV/37092,Zaniklý dokument,PUV/37092-2
Česká zemědělská univerzita v Praze ,CZ,2020-37455,OPENDATAST96_PT_CZ_DIFF_PUV2020-37455.xml,20.04.2020,3,PUV/37455,PUV,2,2020-37455,PUV/37455,Platný dokument,PUV/37455-2
Česká zemědělská univerzita v Praze ,CZ,2020-37846,OPENDATAST96_PT_CZ_DIFF_PUV2020-37846.xml,06.08.2020,3,PUV/37846,PUV,2,2020-37846,PUV/37846,Platný dokument na poshovovací lhůtě,PUV/37846-2
Česká zemědělská univerzita v Praze ,CZ,2020-37934,OPENDATAST96_PT_CZ_DIFF_PUV2020-37934.xml,01.09.2020,3,PUV/37934,PUV,2,2020-37934,PUV/37934,Platný dokument,PUV/37934-2
Česká zemědělská univerzita v Praze ,CZ,2020-37937,OPENDATAST96_PT_CZ_DIFF_PUV2020-37937.xml,01.09.2020,3,PUV/37937,PUV,2,2020-37937,PUV/37937,Platný dokument na poshovovací lhůtě,PUV/37937-2
Česká zemědělská univerzita v Praze ,CZ,2020-38097,OPENDATAST96_PT_CZ_DIFF_PUV2020-38097.xml,13.10.2020,3,PUV/38097,PUV,2,2020-38097,PUV/38097,Platný dokument,PUV/38097-2
Česká zemědělská univerzita v Praze ,CZ,2020-38112,OPENDATAST96_PT_CZ_DIFF_PUV2020-38112.xml,16.10.2020,3,PUV/38112,PUV,2,2020-38112,PUV/38112,Platný dokument na poshovovací lhůtě,PUV/38112-2
Česká zemědělská univerzita v Praze ,CZ,2020-38115,OPENDATAST96_PT_CZ_DIFF_PUV2020-38115.xml,16.10.2020,3,PUV/38115,PUV,2,2020-38115,PUV/38115,Platný dokument,PUV/38115-2
Česká zemědělská univerzita v Praze ,CZ,2020-38252,OPENDATAST96_PT_CZ_DIFF_PUV2020-38252.xml,21.11.2020,3,PUV/38252,PUV,2,2020-38252,PUV/38252,Platný dokument,PUV/38252-2
Česká zemědělská univerzita v Praze ,CZ,2020-38275,OPENDATAST96_PT_CZ_DIFF_PUV2020-38275.xml,26.11.2020,3,PUV/38275,PUV,2,2020-38275,PUV/38275,Platný dokument,PUV/38275-2
Česká zemědělská univerzita v Praze ,CZ,2020-38339,OPENDATAST96_PT_CZ_DIFF_PUV2020-38339.xml,10.12.2020,3,PUV/38339,PUV,2,2020-38339,PUV/38339,Platný dokument,PUV/38339-2
Česká zemědělská univerzita v Praze ,CZ,2020-38350,OPENDATAST96_PT_CZ_DIFF_PUV2020-38350.xml,14.12.2020,3,PUV/38350,PUV,2,2020-38350,PUV/38350,Platný dokument,PUV/38350-2
Česká zemědělská univerzita v Praze ,CZ,2020-38381,OPENDATAST96_PT_CZ_DIFF_PUV2020-38381.xml,18.12.2020,3,PUV/38381,PUV,2,2020-38381,PUV/38381,Platný dokument,PUV/38381-2
Česká zemědělská univerzita v Praze ,CZ,2020-38384,OPENDATAST96_PT_CZ_DIFF_PUV2020-38384.xml,18.12.2020,3,PUV/38384,PUV,2,2020-38384,PUV/38384,Platný dokument,PUV/38384-2
Česká zemědělská univerzita v Praze ,CZ,2021-38698,OPENDATAST96_PT_CZ_DIFF_PUV2021-38698.xml,31.03.2021,3,PUV/38698,PUV,2,2021-38698,PUV/38698,Platný dokument,PUV/38698-2
Česká zemědělská univerzita v Praze ,CZ,2021-38888,OPENDATAST96_PT_CZ_DIFF_PUV2021-38888.xml,09.06.2021,3,PUV/38888,PUV,2,2021-38888,PUV/38888,Platný dokument,PUV/38888-2
Česká zemědělská univerzita v Praze ,CZ,2021-38952,OPENDATAST96_PT_CZ_DIFF_PUV2021-38952.xml,30.06.2021,3,PUV/38952,PUV,2,2021-38952,PUV/38952,Platný dokument,PUV/38952-2
Česká zemědělská univerzita v Praze ,CZ,2021-38973,OPENDATAST96_PT_CZ_DIFF_PUV2021-38973.xml,08.07.2021,3,PUV/38973,PUV,2,2021-38973,PUV/38973,Platný dokument,PUV/38973-2
Česká zemědělská univerzita v Praze ,CZ,2021-39075,OPENDATAST96_PT_CZ_DIFF_PUV2021-39075.xml,06.08.2021,3,PUV/39075,PUV,2,2021-39075,PUV/39075,Platný dokument,PUV/39075-2
Česká zemědělská univerzita v Praze ,CZ,2021-39160,OPENDATAST96_PT_CZ_DIFF_PUV2021-39160.xml,10.09.2021,3,PUV/39160,PUV,2,2021-39160,PUV/39160,Platný dokument,PUV/39160-2
Česká zemědělská univerzita v Praze ,CZ,2021-39162,OPENDATAST96_PT_CZ_DIFF_PUV2021-39162.xml,10.09.2021,3,PUV/39162,PUV,2,2021-39162,PUV/39162,Platný dokument,PUV/39162-2
Česká zemědělská univerzita v Praze ,CZ,2021-39163,OPENDATAST96_PT_CZ_DIFF_PUV2021-39163.xml,10.09.2021,3,PUV/39163,PUV,2,2021-39163,PUV/39163,Platný dokument,PUV/39163-2
Česká zemědělská univerzita v Praze ,CZ,2021-39255,OPENDATAST96_PT_CZ_DIFF_PUV2021-39255.xml,11.10.2021,3,PUV/39255,PUV,2,2021-39255,PUV/39255,Platný dokument,PUV/39255-2
