Applicant_name,Country_code,Application_number,File_name,Filing_date,ID_univerzita,API,TYP,TYP_cislo,Application_number,API,STAV,API_typ
"CeskĂ© vysokĂ© ucenĂ­ technickĂ© v Praze 
Ăšstav technickĂ© a experimentĂˇinĂ­ fyziky",CZ,2014-789976,OPENDATAST96_EPTEST_CZ_FULL_CZEP3039455.xml,41877,4,EP/3039455,EP,5,2014-789976,EP/3039455,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3039455-5
"Ceske vysoke uceni technicke v Praze, Fakulta 
strojni, Centrum vozidel udrzitelne mobility",CZ,2018-181561,OPENDATAST96_EPTEST_CZ_FULL_CZEP3425185.xml,43285,4,EP/3425185,EP,5,2018-181561,EP/3425185,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3425185-5
CVUT- Fakulta Stavebni,CZ,2017-772595,OPENDATAST96_EPTEST_CZ_FULL_CZEP3513057.xml,42978,4,EP/3513057,EP,5,2017-772595,EP/3513057,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3513057-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2013-466027,OPENDATAST96_EPTEST_CZ_DIFF_CZEP2732928.xml,41584,4,EP/2732928,EP,5,2013-466027,EP/2732928,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/2732928-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2013-466012,OPENDATAST96_EPTEST_CZ_FULL_CZEP2743040.xml,41463,4,EP/2743040,EP,5,2013-466012,EP/2743040,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/2743040-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2014-747508,OPENDATAST96_EPTEST_CZ_FULL_CZEP3022068.xml,41834,4,EP/3022068,EP,5,2014-747508,EP/3022068,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3022068-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2015-749964,OPENDATAST96_EPTEST_CZ_FULL_CZEP3183098.xml,42206,4,EP/3183098,EP,5,2015-749964,EP/3183098,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3183098-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2016-754165,OPENDATAST96_EPTEST_CZ_FULL_CZEP3310535.xml,42541,4,EP/3310535,EP,5,2016-754165,EP/3310535,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3310535-5
"CVUT V Praze, Fakulta StrojnĂ­",CZ,2016-766831,OPENDATAST96_EPTEST_CZ_FULL_CZEP3337640.xml,42600,4,EP/3337640,EP,5,2016-766831,EP/3337640,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3337640-5
Czech Technical University in Prague,CZ,2021-205420,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4174770.xml,44497,4,EP/4174770,EP,5,2021-205420,EP/4174770,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/4174770-5
Czech Technical University in Prague,CZ,2014-150931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2765428.xml,41652,4,EP/2765428,EP,5,2014-150931,EP/2765428,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/2765428-5
Czech Technical University in Prague,CZ,2014-184711,OPENDATAST96_EPTEST_CZ_FULL_CZEP2851647.xml,41897,4,EP/2851647,EP,5,2014-184711,EP/2851647,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/2851647-5
"Czech Technical University in Prague - 
Faculty of Electrical Engineering",CZ,2014-169931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2811307.xml,41786,4,EP/2811307,EP,5,2014-169931,EP/2811307,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/2811307-5
"Czech Technical University In Prague, 
Faculty of Mechanical Engineering, Department of 
Energy Engineering",CZ,2014-789772,OPENDATAST96_EPTEST_CZ_FULL_CZEP3047046.xml,41898,4,EP/3047046,EP,5,2014-789772,EP/3047046,NeĂşÄŤinnĂ˝ EP od poÄŤĂˇtku,EP/3047046-5
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2013-27636,OPENDATAST96_PT_CZ_DIFF_PUV2013-27636.xml,41354,3,PUV/27636,PUV,2,2013-27636,PUV/27636,ZaniklĂ˝ dokument,PUV/27636-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2013-27637,OPENDATAST96_PT_CZ_DIFF_PUV2013-27637.xml,41354,3,PUV/27637,PUV,2,2013-27637,PUV/27637,ZaniklĂ˝ dokument,PUV/27637-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2014-29728,OPENDATAST96_PT_CZ_DIFF_PUV2014-29728.xml,41823,3,PUV/29728,PUV,2,2014-29728,PUV/29728,ZaniklĂ˝ dokument,PUV/29728-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2014-30330,OPENDATAST96_PT_CZ_DIFF_PUV2014-30330.xml,41968,3,PUV/30330,PUV,2,2014-30330,PUV/30330,ZaniklĂ˝ dokument,PUV/30330-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-30985,OPENDATAST96_PT_CZ_DIFF_PUV2015-30985.xml,42114,3,PUV/30985,PUV,2,2015-30985,PUV/30985,ZaniklĂ˝ dokument,PUV/30985-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-31275,OPENDATAST96_PT_CZ_DIFF_PUV2015-31275.xml,42184,3,PUV/31275,PUV,2,2015-31275,PUV/31275,PlatnĂ˝ dokument,PUV/31275-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-31519,OPENDATAST96_PT_CZ_DIFF_PUV2015-31519.xml,42262,3,PUV/31519,PUV,2,2015-31519,PUV/31519,ZaniklĂ˝ dokument,PUV/31519-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-31581,OPENDATAST96_PT_CZ_DIFF_PUV2015-31581.xml,42279,3,PUV/31581,PUV,2,2015-31581,PUV/31581,ZaniklĂ˝ dokument,PUV/31581-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-31583,OPENDATAST96_PT_CZ_DIFF_PUV2015-31583.xml,42279,3,PUV/31583,PUV,2,2015-31583,PUV/31583,PlatnĂ˝ dokument,PUV/31583-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2015-31974,OPENDATAST96_PT_CZ_DIFF_PUV2015-31974.xml,42368,3,PUV/31974,PUV,2,2015-31974,PUV/31974,PlatnĂ˝ dokument,PUV/31974-2
ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v PrazeÂ ,CZ,2016-32993,OPENDATAST96_PT_CZ_DIFF_PUV2016-32993.xml,42674,3,PUV/32993,PUV,2,2016-32993,PUV/32993,ZaniklĂ˝ dokument,PUV/32993-2
