Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization,ID_univerzita
PV,2015-302,306037,Zaniklý dokument,"C01G3/00, C22B3/06",CS: Způsob výroby dihydrátu siřičitanu měďnato-měďnéhoEN: Process for preparing cupric-cuprous sulfite dihydrate,"Mendelova univerzita v Brně, Brno, Česká republika",7
PUV,2014-29312,27508,Zaniklý dokument,"C12G1/00, C12G3/00, A23L2/00, C12G3/055, C12G3/07, A23L2/02","CS: Mošt, víno nebo nápoj na bázi vína se zvýšeným obsahem přírodních lignanůEN: Must, wine or beverage based on wine with increased content of natural ligands","Mendelova univerzita v Brně, Zahradnická fakulta, Ústav posklizňové technologie zahradnických produktů, Lednice, Česká republikaVýzkumný ústav potravinářský Praha, v.v.i., Praha 10- Hostivař, Česká republikaCentrum výzkumu globální změny AV ČR, v.v.i., Brno, Česká republika",7
PUV,2015-31252,28995,Zaniklý dokument,A23B7/148,CS: Prostředí skladovacího prostoru pro skladování plodů asijských hrušníEN: Storage space environment for storing fruits of Asian pear trees,"Mendelova univerzita v Brně, Zahradnická fakulta,Ústav posklizňové technologie zahradnických produktů, Lednice, Česká republika",7
PV,2022-45,309746,Platný dokument,"G01L1/24, G01L1/00, B61L1/06, B61L1/00","CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla, jeho uspořádání a způsob detekce této tlakové síly pomocí tohoto uspořádáníEN: A composite fibre optic sensor for detecting the pressure force generated by the passage of a wheel of a rail vehicle, its arrangement and the method of detecting this pressure force using this arrangement","PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2022-39629,36242,Platný dokument,"B61L1/06, G01L1/24",CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla a jeho uspořádáníEN: Composite fibre optic sensor for detecting the pressure force generated by the passage of a rolling stock wheel and its arrangement,"PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PV,2022-45,309746,Platný dokument,"G01L1/24, G01L1/00, B61L1/06, B61L1/00","CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla, jeho uspořádání a způsob detekce této tlakové síly pomocí tohoto uspořádáníEN: A composite fibre optic sensor for detecting the pressure force generated by the passage of a wheel of a rail vehicle, its arrangement and the method of detecting this pressure force using this arrangement","PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2022-39629,36242,Platný dokument,"B61L1/06, G01L1/24",CS: Kompozitní optovláknový senzor pro detekci tlakové síly vznikající průjezdem kola kolejového vozidla a jeho uspořádáníEN: Composite fibre optic sensor for detecting the pressure force generated by the passage of a rolling stock wheel and its arrangement,"PRODIN a.s., Pardubice, Zelené Předměstí, Česká republikaVysoká škola báňská - Technická univerzita Ostrava, Ostrava, Poruba, Česká republika",19
PUV,2013-28708,27458,Zaniklý dokument,"B01D39/14, B82Y30/00, A62B23/00",CS: Rovinný filtr s tvarově nestabilním filtračním materiálem obsahujícím vrstvu nanovlákenEN: Flat filter with shape-unstable filtering material containing a layer of nanofibers,"Technická univerzita v Liberci - Katedra strojírenské technologie
Oddělení tváření kovů a zpracování plastů, Liberec 1, Česká republika",11
PV,2014-692,306952,Zaniklý dokument,B23K37/04,CS: Pracoviště s univerzálním polohovacím svařovacím přípravkemEN: A workplace with a universal positioning welding tool,"Technická univerzita v Liberci, Liberec 1, Česká republika",11
PV,2014-484,305698,Zaniklý dokument,"C02F3/30, C02F3/10, C02F3/08",CS: Nosič biomasy pro bioreaktorEN: Biomass carrier for bioreactor,"Technická univerzita v Liberci, Liberec, Česká republika",11
PV,2013-34,304656,Platný dokument,"B32B3/06, B32B5/08, G10K11/172, E04B1/84, D04H1/70, B82B1/00",CS: Zvukově pohltivý prostředek obsahující alespoň jednu akustickou rezonanční membránu tvořenou vrstvou polymerních nanovlákenEN: Sound absorbing means containing at least one acoustic sounding board formed by a layer of polymer nanofibers,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2013-826,305677,Zrušený patent,"A62B18/02, A62B23/02, A62B7/00, A62B7/10",CS: Ochranná dýchací maska se společným nádechovým a výdechovým otvoremEN: Protective breathing mask with common aspiration and expiratory opening,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2013-28691,27784,Zaniklý dokument,"A62B7/10, A62B9/02, A62B18/02, A62B18/10",CS: Ochranná dýchací maska se společným nádechovým a výdechovým otvoremEN: Protective breathing mask with common aspiration and expiratory opening,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2013-28991,27506,Zaniklý dokument,B65H45/00,CS: Prostředek pro fixaci rozteče skladů materiáluEN: Means to fix span of material storerooms,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2015-37,305741,Platný dokument,"C04B18/14, C04B18/16, C04B28/26, C04B38/02, C04B111/28",CS: Žáruvzdorný geopolymerní kompozit s nízkou měrnou hmotností pro konstrukční prvky protipožárních zábranEN: Refractory geopolymeric composite with low bulk specific gravity for structural elements of fire cutoffs,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2015-785,306837,Platný dokument,"A62D3/00, A62D3/34, A62D3/11, A62D3/115, B82B3/00, B82Y30/00",CS: Způsob in-situ sanace horninového prostředí kontaminovaného škodlivými chemickými sloučeninamiEN: A method of in-situ remediation of a rock environment contaminated by harmful chemical compounds,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PV,2017-768,307917,Platný dokument,"B01J39/20, B01J41/14, C08J5/22, C08J5/04, C08L25/08, C08L25/18, C08L33/10, B01D61/42, B01D61/06",CS: Iontovýměnná membránaEN: Ion exchange membrane,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika",11
PUV,2014-29687,27368,Zaniklý dokument,"B32B3/10, B32B3/12, B32B5/02, B32B7/04, B32B27/36, B32B27/40, B82B3/00, B32B7/05",CS: Textilní kompozitEN: Textile composite,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republikaSVITAP s.r.o., Svitavy, Předměstí, Česká republika",11
PV,2014-904,305737,Platný dokument,H01G5/40,CS: KondenzátorEN: Capacitor,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PV,2015-308,306038,Platný dokument,"H01F5/00, H01F21/00",CS: CívkaEN: Coil,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PV,2016-32,306402,Zaniklý dokument,"G01R15/18, G01R19/00, G01R19/04, H01F38/28, H01F38/30",CS: Proudový bočník indukčního typuEN: Induction type current shunt,"Univerzita Hradec Králové, Hradec Králové, Česká republika",12
PUV,2013-28704,28017,Zaniklý dokument,A61N5/06,CS: Systém pro vícebodové sledování fyzické aktivityEN: System for multipoint monitoring of physical activity,"Univerzita Karlova v Praze, Praha 1, Česká republika",14
PV,2013-885,305371,Platný dokument,"A23J1/20, A23J3/08, A23C21/00, B01D15/08, C07K14/79",CS: Způsob separace syrovátkových proteinů z mléčného média a zařízení k provádění tohoto způsobuEN: Separation process of whey proteins from milk medium and apparatus for making the same,"Univerzita Palackého v Olomouci, Olomouc, Česká republika",15
PUV,2015-30902,28350,Zaniklý dokument,G06F3/0346,CS: Systém a sada pro přenos signálu z nerovného povrchu trojrozměrné struktury na detektor registrující elektrické impulsyEN: System and set for signal transmission from uneven surface of three-dimensional structure to a detector,"Univerzita Palackého v Olomouci, Olomouc, Česká republika",15
PUV,2015-30676,27982,Platný dokument,C05G1/00,"CS: Vícesložkové kapalné hnojivo, vhodné zejména pro výživu kukuřiceEN: Multicomponent liquid fertilizer, suitable particularly for maize feeding","Univerzita Palackého v Olomouci, Olomouc, Česká republikaFosfa a.s., Břeclav, Poštorná, Česká republika",15
PUV,2013-27805,25558,Zaniklý dokument,"G01N27/02, G01N27/07, G01N31/22",CS: Čidlo pro měření relativní vlhkosti v širokém rozsahu teplot a relativní vlhkostiEN: Sensor for measuring relative humidity within a broad range of temperatures and relative humidity,"Univerzita Pardubice, Pardubice",16
